kanal,rolle,video_id,titel,views,likes,like_rate_pct,dauer_s,aufloesung,fps,tags_gesetzt,captions,kategorie,sprache_bis_pct,visuell
UCBnoLXdJ9tIR-8vjSdgiYAw,TOP,Ln4_CtkZsRs,If You're Anxious; Rest to the Gospel of John Tonight,244260,10193,4.17,14831,1920x1080,30,NEIN,NEIN,?,0,statisch
UCBnoLXdJ9tIR-8vjSdgiYAw,MEDIAN,Sym1B02N8DA,Lord; I Feel Tired,184571,4177,2.26,12813,1916x1080,25,NEIN,NEIN,?,0,statisch
UCBnoLXdJ9tIR-8vjSdgiYAw,FLOP,NJSq3WYyrCY,You're Tired; I Know... Jesus Watches Over You Tonight,12537,284,2.27,15147,1920x1080,24,NEIN,NEIN,?,0,statisch
UC1AOmfQ2hsB0G0QBw5iCaUQ,TOP,c7zCK8BPv4E,God’s Word for You Tonight: “I Am Here—You’re Not Alone” | Powerful Ni,1025839,17352,1.69,6798,3840x2160,30,JA,NEIN,?,0,statisch
UC1AOmfQ2hsB0G0QBw5iCaUQ,MEDIAN,FG8LTL1IKe0,Let His Mighty Hand Guard You Tonight | Before Sleep for Peace & Prote,28078,817,2.91,5012,2560x1438,30,JA,NEIN,?,0,statisch
